id,image,target_filename,color,water,style,theme,subject,lighting,scene,distractor,generation_prompt,negative_prompt,training_answer_json,split,batch_id
jade-gen-0001,data/generated_jade_liveroom_training_images/sample-0001.png,sample-0001.png,帝王绿,玻璃种,手镯,,"a single complete jade bangle bracelet lying flat, full ring visible","soft daylight product photography, neutral gray background",liveroom,"live-stream jade sales room, a host is talking about the jade item, upper body and face visible behind the product, one hand holding the jade close to the camera, soft ring light reflection, display trays in the background","Generate one realistic live-stream sales room image: a livestream host is talking about this jade item; a single complete jade bangle bracelet lying flat, full ring visible. live-stream jade sales room, a host is talking about the jade item, upper body and face visible behind the product, one hand holding the jade close to the camera, soft ring light reflection, display trays in the background. Material and color: deep vivid imperial emerald green, saturated but natural jade color. Water quality: glass-type jade, very high transparency, glass-like clarity, minimal grain. The jade object must be the main visual focus, fully visible, sharp focus, realistic polished jade luster, natural inclusions and texture appropriate for jadeite, no text or labels in the image. soft daylight product photography, neutral gray background.","text, label, caption, watermark, logo, certificate, price tag, QR code, ruler, fake plastic look, overexposed highlights, blurry jade item, cropped jade object, duplicate jade object, extra holes in jade, distorted carving, deformed hands, extra fingers, distorted facial features","{""color"": ""帝王绿"", ""style"": ""手镯"", ""theme"": """", ""water"": ""玻璃种""}",train,jade-synthetic-liveroom-v1
jade-gen-0002,data/generated_jade_liveroom_training_images/sample-0002.png,sample-0002.png,帝王绿,高冰,手镯,,a round jade bangle standing slightly upright on a small acrylic rest,"studio product photo, softbox reflection, matte black background",liveroom,"vertical live-commerce room scene, a female presenter is explaining the jade piece, face and torso visible but slightly behind focus, both hands presenting the jade under bright studio lights, blurred shelves of jewelry in the background","Generate one realistic live-stream sales room image: a livestream host is talking about this jade item; a round jade bangle standing slightly upright on a small acrylic rest. vertical live-commerce room scene, a female presenter is explaining the jade piece, face and torso visible but slightly behind focus, both hands presenting the jade under bright studio lights, blurred shelves of jewelry in the background. Material and color: deep vivid imperial emerald green, saturated but natural jade color. Water quality: high-ice jade, very translucent, strong luster, fine clean texture. The jade object must be the main visual focus, fully visible, sharp focus, realistic polished jade luster, natural inclusions and texture appropriate for jadeite, no text or labels in the image. studio product photo, softbox reflection, matte black background.","text, label, caption, watermark, logo, certificate, price tag, QR code, ruler, fake plastic look, overexposed highlights, blurry jade item, cropped jade object, duplicate jade object, extra holes in jade, distorted carving, deformed hands, extra fingers, distorted facial features","{""color"": ""帝王绿"", ""style"": ""手镯"", ""theme"": """", ""water"": ""高冰""}",train,jade-synthetic-liveroom-v1
jade-gen-0003,data/generated_jade_liveroom_training_images/sample-0003.png,sample-0003.png,帝王绿,冰种,平安扣,,"a round jade safety buckle pendant, circular disc with a clean central hole","macro product photography, white acrylic base, clean shadow",liveroom,"jade livestream selling desk, presenter is speaking while pointing at the item, one hand and part of the upper body visible, face partially visible at the edge of frame, phone tripod and softbox reflections in the room","Generate one realistic live-stream sales room image: a livestream host is talking about this jade item; a round jade safety buckle pendant, circular disc with a clean central hole. jade livestream selling desk, presenter is speaking while pointing at the item, one hand and part of the upper body visible, face partially visible at the edge of frame, phone tripod and softbox reflections in the room. Material and color: deep vivid imperial emerald green, saturated but natural jade color. Water quality: ice-type jade, translucent and clean, visible watery depth. The jade object must be the main visual focus, fully visible, sharp focus, realistic polished jade luster, natural inclusions and texture appropriate for jadeite, no text or labels in the image. macro product photography, white acrylic base, clean shadow.","text, label, caption, watermark, logo, certificate, price tag, QR code, ruler, fake plastic look, overexposed highlights, blurry jade item, cropped jade object, duplicate jade object, extra holes in jade, distorted carving, deformed hands, extra fingers, distorted facial features","{""color"": ""帝王绿"", ""style"": ""平安扣"", ""theme"": """", ""water"": ""冰种""}",train,jade-synthetic-liveroom-v1
jade-gen-0004,data/generated_jade_liveroom_training_images/sample-0004.png,sample-0004.png,帝王绿,糯冰,珠串,,"a jade bead bracelet, individual polished round beads clearly visible","jewelry catalog photo, warm side light, beige stone surface",liveroom,"busy live sales counter, host holding the jade item above a velvet tray, human hand, wrist, upper body and face visible as natural distractors, other jade pieces softly blurred in the background","Generate one realistic live-stream sales room image: a livestream host is talking about this jade item; a jade bead bracelet, individual polished round beads clearly visible. busy live sales counter, host holding the jade item above a velvet tray, human hand, wrist, upper body and face visible as natural distractors, other jade pieces softly blurred in the background. Material and color: deep vivid imperial emerald green, saturated but natural jade color. Water quality: waxy-ice jade, semi-translucent, slightly cloudy but still icy. The jade object must be the main visual focus, fully visible, sharp focus, realistic polished jade luster, natural inclusions and texture appropriate for jadeite, no text or labels in the image. jewelry catalog photo, warm side light, beige stone surface.","text, label, caption, watermark, logo, certificate, price tag, QR code, ruler, fake plastic look, overexposed highlights, blurry jade item, cropped jade object, duplicate jade object, extra holes in jade, distorted carving, deformed hands, extra fingers, distorted facial features","{""color"": ""帝王绿"", ""style"": ""珠串"", ""theme"": """", ""water"": ""糯冰""}",train,jade-synthetic-liveroom-v1
jade-gen-0005,data/generated_jade_liveroom_training_images/sample-0005.png,sample-0005.png,帝王绿,糯种,蛋面,,"a loose oval jade cabochon gemstone, domed top, no metal setting","soft daylight product photography, neutral gray background",liveroom,"live-stream jade sales room, a host is talking about the jade item, upper body and face visible behind the product, one hand holding the jade close to the camera, soft ring light reflection, display trays in the background","Generate one realistic live-stream sales room image: a livestream host is talking about this jade item; a loose oval jade cabochon gemstone, domed top, no metal setting. live-stream jade sales room, a host is talking about the jade item, upper body and face visible behind the product, one hand holding the jade close to the camera, soft ring light reflection, display trays in the background. Material and color: deep vivid imperial emerald green, saturated but natural jade color. Water quality: waxy jade, soft cloudy translucency, fine waxy texture. The jade object must be the main visual focus, fully visible, sharp focus, realistic polished jade luster, natural inclusions and texture appropriate for jadeite, no text or labels in the image. soft daylight product photography, neutral gray background.","text, label, caption, watermark, logo, certificate, price tag, QR code, ruler, fake plastic look, overexposed highlights, blurry jade item, cropped jade object, duplicate jade object, extra holes in jade, distorted carving, deformed hands, extra fingers, distorted facial features","{""color"": ""帝王绿"", ""style"": ""蛋面"", ""theme"": """", ""water"": ""糯种""}",train,jade-synthetic-liveroom-v1
jade-gen-0006,data/generated_jade_liveroom_training_images/sample-0006.png,sample-0006.png,帝王绿,豆种,戒面,,"a polished oval jade ring-face stone, flatter than a cabochon, no metal setting","studio product photo, softbox reflection, matte black background",liveroom,"vertical live-commerce room scene, a female presenter is explaining the jade piece, face and torso visible but slightly behind focus, both hands presenting the jade under bright studio lights, blurred shelves of jewelry in the background","Generate one realistic live-stream sales room image: a livestream host is talking about this jade item; a polished oval jade ring-face stone, flatter than a cabochon, no metal setting. vertical live-commerce room scene, a female presenter is explaining the jade piece, face and torso visible but slightly behind focus, both hands presenting the jade under bright studio lights, blurred shelves of jewelry in the background. Material and color: deep vivid imperial emerald green, saturated but natural jade color. Water quality: bean-type jade, low translucency, visible granular texture. The jade object must be the main visual focus, fully visible, sharp focus, realistic polished jade luster, natural inclusions and texture appropriate for jadeite, no text or labels in the image. studio product photo, softbox reflection, matte black background.","text, label, caption, watermark, logo, certificate, price tag, QR code, ruler, fake plastic look, overexposed highlights, blurry jade item, cropped jade object, duplicate jade object, extra holes in jade, distorted carving, deformed hands, extra fingers, distorted facial features","{""color"": ""帝王绿"", ""style"": ""戒面"", ""theme"": """", ""water"": ""豆种""}",train,jade-synthetic-liveroom-v1
jade-gen-0007,data/generated_jade_liveroom_training_images/sample-0007.png,sample-0007.png,帝王绿,玻璃种,戒指,,a jade ring with a jade cabochon mounted on a simple ring band,"macro product photography, white acrylic base, clean shadow",liveroom,"jade livestream selling desk, presenter is speaking while pointing at the item, one hand and part of the upper body visible, face partially visible at the edge of frame, phone tripod and softbox reflections in the room","Generate one realistic live-stream sales room image: a livestream host is talking about this jade item; a jade ring with a jade cabochon mounted on a simple ring band. jade livestream selling desk, presenter is speaking while pointing at the item, one hand and part of the upper body visible, face partially visible at the edge of frame, phone tripod and softbox reflections in the room. Material and color: deep vivid imperial emerald green, saturated but natural jade color. Water quality: glass-type jade, very high transparency, glass-like clarity, minimal grain. The jade object must be the main visual focus, fully visible, sharp focus, realistic polished jade luster, natural inclusions and texture appropriate for jadeite, no text or labels in the image. macro product photography, white acrylic base, clean shadow.","text, label, caption, watermark, logo, certificate, price tag, QR code, ruler, fake plastic look, overexposed highlights, blurry jade item, cropped jade object, duplicate jade object, extra holes in jade, distorted carving, deformed hands, extra fingers, distorted facial features","{""color"": ""帝王绿"", ""style"": ""戒指"", ""theme"": """", ""water"": ""玻璃种""}",train,jade-synthetic-liveroom-v1
jade-gen-0008,data/generated_jade_liveroom_training_images/sample-0008.png,sample-0008.png,帝王绿,高冰,挂件,观音,"a carved jade pendant of Guanyin, full carving visible","jewelry catalog photo, warm side light, beige stone surface",liveroom,"busy live sales counter, host holding the jade item above a velvet tray, human hand, wrist, upper body and face visible as natural distractors, other jade pieces softly blurred in the background","Generate one realistic live-stream sales room image: a livestream host is talking about this jade item; a carved jade pendant of Guanyin, full carving visible. busy live sales counter, host holding the jade item above a velvet tray, human hand, wrist, upper body and face visible as natural distractors, other jade pieces softly blurred in the background. Material and color: deep vivid imperial emerald green, saturated but natural jade color. Water quality: high-ice jade, very translucent, strong luster, fine clean texture. The jade object must be the main visual focus, fully visible, sharp focus, realistic polished jade luster, natural inclusions and texture appropriate for jadeite, no text or labels in the image. jewelry catalog photo, warm side light, beige stone surface.","text, label, caption, watermark, logo, certificate, price tag, QR code, ruler, fake plastic look, overexposed highlights, blurry jade item, cropped jade object, duplicate jade object, extra holes in jade, distorted carving, deformed hands, extra fingers, distorted facial features","{""color"": ""帝王绿"", ""style"": ""挂件"", ""theme"": ""观音"", ""water"": ""高冰""}",train,jade-synthetic-liveroom-v1
jade-gen-0009,data/generated_jade_liveroom_training_images/sample-0009.png,sample-0009.png,帝王绿,冰种,挂件,佛公,"a carved jade pendant of laughing Buddha, rounded belly visible","soft daylight product photography, neutral gray background",liveroom,"live-stream jade sales room, a host is talking about the jade item, upper body and face visible behind the product, one hand holding the jade close to the camera, soft ring light reflection, display trays in the background","Generate one realistic live-stream sales room image: a livestream host is talking about this jade item; a carved jade pendant of laughing Buddha, rounded belly visible. live-stream jade sales room, a host is talking about the jade item, upper body and face visible behind the product, one hand holding the jade close to the camera, soft ring light reflection, display trays in the background. Material and color: deep vivid imperial emerald green, saturated but natural jade color. Water quality: ice-type jade, translucent and clean, visible watery depth. The jade object must be the main visual focus, fully visible, sharp focus, realistic polished jade luster, natural inclusions and texture appropriate for jadeite, no text or labels in the image. soft daylight product photography, neutral gray background.","text, label, caption, watermark, logo, certificate, price tag, QR code, ruler, fake plastic look, overexposed highlights, blurry jade item, cropped jade object, duplicate jade object, extra holes in jade, distorted carving, deformed hands, extra fingers, distorted facial features","{""color"": ""帝王绿"", ""style"": ""挂件"", ""theme"": ""佛公"", ""water"": ""冰种""}",train,jade-synthetic-liveroom-v1
jade-gen-0010,data/generated_jade_liveroom_training_images/sample-0010.png,sample-0010.png,帝王绿,糯冰,挂件,如意,a carved jade ruyi pendant with curved ruyi silhouette,"studio product photo, softbox reflection, matte black background",liveroom,"vertical live-commerce room scene, a female presenter is explaining the jade piece, face and torso visible but slightly behind focus, both hands presenting the jade under bright studio lights, blurred shelves of jewelry in the background","Generate one realistic live-stream sales room image: a livestream host is talking about this jade item; a carved jade ruyi pendant with curved ruyi silhouette. vertical live-commerce room scene, a female presenter is explaining the jade piece, face and torso visible but slightly behind focus, both hands presenting the jade under bright studio lights, blurred shelves of jewelry in the background. Material and color: deep vivid imperial emerald green, saturated but natural jade color. Water quality: waxy-ice jade, semi-translucent, slightly cloudy but still icy. The jade object must be the main visual focus, fully visible, sharp focus, realistic polished jade luster, natural inclusions and texture appropriate for jadeite, no text or labels in the image. studio product photo, softbox reflection, matte black background.","text, label, caption, watermark, logo, certificate, price tag, QR code, ruler, fake plastic look, overexposed highlights, blurry jade item, cropped jade object, duplicate jade object, extra holes in jade, distorted carving, deformed hands, extra fingers, distorted facial features","{""color"": ""帝王绿"", ""style"": ""挂件"", ""theme"": ""如意"", ""water"": ""糯冰""}",val,jade-synthetic-liveroom-v1
