id,image,label,split,class_name,style,scenario,box_count,prompt
bangle_liveroom_001,data/generated_jade_bangle_liveroom_100/images/train/bangle_liveroom_001.jpg,data/generated_jade_bangle_liveroom_100/labels/train/bangle_liveroom_001.txt,train,jade,bangle,front,1,"front-facing jade bangle livestream frame, full ring visible; vertical smartphone jade livestream screenshot with red/orange detection box UI overlays"
bangle_liveroom_002,data/generated_jade_bangle_liveroom_100/images/train/bangle_liveroom_002.jpg,data/generated_jade_bangle_liveroom_100/labels/train/bangle_liveroom_002.txt,train,jade,bangle,angled,1,"angled bangle view, slight phone tilt and perspective-like crop; vertical smartphone jade livestream screenshot with red/orange detection box UI overlays"
bangle_liveroom_003,data/generated_jade_bangle_liveroom_100/images/train/bangle_liveroom_003.jpg,data/generated_jade_bangle_liveroom_100/labels/train/bangle_liveroom_003.txt,train,jade,bangle,reflection,1,strong ring-light reflection over glossy jade bangle; vertical smartphone jade livestream screenshot with red/orange detection box UI overlays
bangle_liveroom_004,data/generated_jade_bangle_liveroom_100/images/train/bangle_liveroom_004.jpg,data/generated_jade_bangle_liveroom_100/labels/train/bangle_liveroom_004.txt,train,jade,bangle,handheld,1,seller hand partially holding the jade bangle edge; vertical smartphone jade livestream screenshot with red/orange detection box UI overlays
bangle_liveroom_005,data/generated_jade_bangle_liveroom_100/images/train/bangle_liveroom_005.jpg,data/generated_jade_bangle_liveroom_100/labels/train/bangle_liveroom_005.txt,train,jade,bangle,tray,1,jade bangle displayed on tray or padded cloth on live desk; vertical smartphone jade livestream screenshot with red/orange detection box UI overlays
bangle_liveroom_006,data/generated_jade_bangle_liveroom_100/images/train/bangle_liveroom_006.jpg,data/generated_jade_bangle_liveroom_100/labels/train/bangle_liveroom_006.txt,train,jade,bangle,multiple_bangles,2,multiple jade bangles visible in one livestream screen; vertical smartphone jade livestream screenshot with red/orange detection box UI overlays
bangle_liveroom_007,data/generated_jade_bangle_liveroom_100/images/train/bangle_liveroom_007.jpg,data/generated_jade_bangle_liveroom_100/labels/train/bangle_liveroom_007.txt,train,jade,bangle,moving_host,1,"seller moving the jade bangle, mild motion blur; vertical smartphone jade livestream screenshot with red/orange detection box UI overlays"
bangle_liveroom_008,data/generated_jade_bangle_liveroom_100/images/train/bangle_liveroom_008.jpg,data/generated_jade_bangle_liveroom_100/labels/train/bangle_liveroom_008.txt,train,jade,bangle,blurred_frame,1,slightly out-of-focus low bitrate live frame; vertical smartphone jade livestream screenshot with red/orange detection box UI overlays
bangle_liveroom_009,data/generated_jade_bangle_liveroom_100/images/train/bangle_liveroom_009.jpg,data/generated_jade_bangle_liveroom_100/labels/train/bangle_liveroom_009.txt,train,jade,bangle,ring_light,1,direct light shining on the bangle with glare streaks; vertical smartphone jade livestream screenshot with red/orange detection box UI overlays
bangle_liveroom_010,data/generated_jade_bangle_liveroom_100/images/val/bangle_liveroom_010.jpg,data/generated_jade_bangle_liveroom_100/labels/val/bangle_liveroom_010.txt,val,jade,bangle,boxed_ui,1,red and orange live recognition boxes visible as UI overlay; vertical smartphone jade livestream screenshot with red/orange detection box UI overlays
